City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
78,jamestown,42.097,-79.2353,45.99,95,100,14.97,US,2023-11-09
79,zaozersk,69.4005,32.4476,20.79,93,95,10.02,RU,2023-11-09
80,chamba,32.5667,76.1333,56.68,71,60,7.63,IN,2023-11-09
81,taoudenni,22.6783,-3.9836,80.37,11,0,11.14,ML,2023-11-09
82,vilyuysk,63.7553,121.6247,-5.66,96,47,4.5,RU,2023-11-09
83,sabang,5.8933,95.3214,82.02,76,100,10.45,ID,2023-11-09
84,maintirano,-18.0667,44.0167,81.12,79,24,10.49,MG,2023-11-09
85,katsuura,35.1333,140.3,65.17,74,10,7.58,JP,2023-11-09
86,tolanaro,-25.0319,46.9987,75.27,88,75,3.44,MG,2023-11-09
87,geraldton,-28.7667,114.6,66.61,68,100,17.27,AU,2023-11-09
88,susuman,62.7833,148.1667,-22.43,99,91,0.22,RU,2023-11-09
89,katsuren-haebaru,26.3369,127.8719,79.18,88,20,6.91,JP,2023-11-09
90,ponta delgada,37.7333,-25.6667,68.72,94,75,11.5,PT,2023-11-09
91,klyuchi,52.2667,79.1667,34.11,73,67,8.86,RU,2023-11-09
92,san patricio,28.017,-97.5169,84.92,60,99,6.78,US,2023-11-09
93,kigoma,-4.8769,29.6267,79.63,71,100,7.58,TZ,2023-11-09
94,maragogi,-9.0122,-35.2225,83.08,58,4,10.89,BR,2023-11-09
95,punta arenas,-53.15,-70.9167,51.82,43,75,23.02,CL,2023-11-09
96,avarua,-21.2078,-159.775,75.25,83,20,6.91,CK,2023-11-09
97,aleg,17.0481,-13.9209,88.84,11,24,8.48,MR,2023-11-09
98,gargalianoi,37.0667,21.6333,67.35,55,44,6.33,GR,2023-11-09
99,grand falls-windsor,48.9332,-55.6649,36.5,91,100,8.01,CA,2023-11-09
100,nar'yan-mar,67.6713,53.087,33.12,100,100,8.99,RU,2023-11-09
101,gurupi,-11.7292,-49.0686,98.26,28,44,2.17,BR,2023-11-09
102,howard springs,-12.497,131.047,82.31,78,41,5.59,AU,2023-11-09
103,alpena,45.0617,-83.4327,48.52,54,0,16.11,US,2023-11-09
104,anshing,20.0333,77.3167,71.56,47,35,4.61,IN,2023-11-09
105,sitka,57.0531,-135.33,46.29,81,100,10.36,US,2023-11-09
106,atafu village,-8.5421,-172.5159,83.84,68,100,11.07,TK,2023-11-09
107,tazovsky,67.4667,78.7,25.86,86,100,20.07,RU,2023-11-09
108,stanley,54.868,-1.6985,43.79,88,0,2.3,GB,2023-11-09
109,sretensk,52.2453,117.7093,4.95,96,60,2.95,RU,2023-11-09
110,forbes,-33.3833,148.0167,60.93,93,0,5.88,AU,2023-11-09
111,nadi,-17.8,177.4167,75.2,88,75,3.44,FJ,2023-11-09
112,thompson,55.7435,-97.8558,19.56,79,100,10.36,CA,2023-11-09
113,yellowknife,62.456,-114.3525,29.41,99,100,24.16,CA,2023-11-09
114,duong dong,10.2167,103.9667,78.8,94,40,0.0,VN,2023-11-09
115,ampanihy,-24.7,44.75,72.05,64,32,10.4,MG,2023-11-09
116,saurimo,-9.6608,20.3916,69.93,86,97,4.34,AO,2023-11-09
